[V|FLDOS|330907|I|140031|12001|63|69889|12309]
[V|FLDOS|330908|I|140031|12007|14|70494|674]
[V|FLDOS|330909|I|140031|12007|14|69889|2781]
[V|FLDOS|330910|I|140031|12019|47|70494|7395]
[V|FLDOS|330911|I|140031|12019|47|69889|21196]
[V|FLDOS|330912|I|140031|12083|51|70494|4552]
[V|FLDOS|330913|I|140031|12083|51|69889|11479]
[V|FLDOS|330914|I|140031|12107|35|70494|1536]
[V|FLDOS|330915|I|140031|12107|35|69889|5871]
[V|FLDOS|330916|I|140031|12125|13|70494|200]
[V|FLDOS|330917|I|140031|12125|13|69889|1192]
[V|FLDOS|330918|I|140032|12001|63|70146|1903]
[V|FLDOS|330919|I|140032|12001|63|70104|17711]
[V|FLDOS|330920|I|140032|12001|63|69765|9187]
[V|FLDOS|330921|I|140032|12007|14|70146|105]
[V|FLDOS|330922|I|140032|12007|14|70104|943]
[V|FLDOS|330923|I|140032|12007|14|69765|795]
[V|FLDOS|330924|I|140032|12019|47|70146|838]
[V|FLDOS|330925|I|140032|12019|47|70104|4918]
[V|FLDOS|330926|I|140032|12019|47|69765|2447]
[V|FLDOS|330927|I|140032|12083|51|70146|681]
[V|FLDOS|330928|I|140032|12083|51|70104|5463]
[V|FLDOS|330929|I|140032|12083|51|69765|2600]
[V|FLDOS|330930|I|140032|12107|35|70146|325]
[V|FLDOS|330931|I|140032|12107|35|70104|2289]
[V|FLDOS|330932|I|140032|12107|35|69765|2132]
[V|FLDOS|330933|I|140032|12125|13|70146|27]
[V|FLDOS|330934|I|140032|12125|13|70104|301]
[V|FLDOS|330935|I|140032|12125|13|69765|486]
[V|FLDOS|330936|I|140052|12003|9|71051|585]
[V|FLDOS|330937|I|140052|12003|9|70408|781]
[V|FLDOS|330938|I|140052|12023|7|71051|554]
[V|FLDOS|330939|I|140052|12023|7|70408|679]
[V|FLDOS|330940|I|140052|12031|106|71051|26994]
[V|FLDOS|330941|I|140052|12031|106|70408|17688]
[V|FLDOS|330942|I|140052|12039|25|71051|1559]
[V|FLDOS|330943|I|140052|12039|25|70408|8441]
[V|FLDOS|330944|I|140052|12047|8|71051|312]
[V|FLDOS|330945|I|140052|12047|8|70408|833]
[V|FLDOS|330946|I|140052|12065|16|71051|357]
[V|FLDOS|330947|I|140052|12065|16|70408|2133]
[V|FLDOS|330948|I|140052|12073|89|71051|4436]
[V|FLDOS|330949|I|140052|12073|89|70408|21295]
[V|FLDOS|330950|I|140052|12079|11|71051|592]
[V|FLDOS|330951|I|140052|12079|11|70408|1983]
[V|FLDOS|330952|I|140061|12035|25|70278|2984]
[V|FLDOS|330953|I|140061|12035|25|70542|5533]
[V|FLDOS|330954|I|140061|12035|25|70215|4114]
[V|FLDOS|330955|I|140061|12069|25|70278|1637]
[V|FLDOS|330956|I|140061|12069|25|70542|3867]
[V|FLDOS|330957|I|140061|12069|25|70215|3741]
[V|FLDOS|330958|I|140061|12109|9|70278|829]
[V|FLDOS|330959|I|140061|12109|9|70542|2234]
[V|FLDOS|330960|I|140061|12109|9|70215|1851]
[V|FLDOS|330961|I|140061|12127|125|70278|15573]
[V|FLDOS|330962|I|140061|12127|125|70542|21199]
[V|FLDOS|330963|I|140061|12127|125|70215|13837]
[V|FLDOS|330964|I|140062|12035|25|70331|2202]
[V|FLDOS|330965|I|140062|12035|25|70224|5059]
[V|FLDOS|330966|I|140062|12035|25|70330|1402]
[V|FLDOS|330967|I|140062|12069|25|70331|857]
[V|FLDOS|330968|I|140062|12069|25|70224|3353]
[V|FLDOS|330969|I|140062|12069|25|70330|691]
[V|FLDOS|330970|I|140062|12109|9|70331|413]
[V|FLDOS|330971|I|140062|12109|9|70224|1720]
[V|FLDOS|330972|I|140062|12109|9|70330|493]
[V|FLDOS|330973|I|140062|12127|125|70331|9124]
[V|FLDOS|330974|I|140062|12127|125|70224|21943]
[V|FLDOS|330975|I|140062|12127|125|70330|10476]
[V|FLDOS|330976|I|140071|12095|63|70492|2864]
[V|FLDOS|330977|I|140071|12095|63|70141|11927]
[V|FLDOS|330978|I|140071|12095|63|70234|3807]
[V|FLDOS|330979|I|140071|12117|81|70492|6085]
[V|FLDOS|330980|I|140071|12117|81|70141|18693]
[V|FLDOS|330981|I|140071|12117|81|70234|13439]
