id,raceid,racetype,racetypeid,ballotorder,candidateid,description,delegatecount,electiondate,electtotal,electwon,fipscode,first,incumbent,initialization_data,is_ballot_measure,last,lastupdated,level,national,officeid,officename,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,reportingunitid,reportingunitname,runoff,seatname,seatnum,statename,statepostal,test,uncontested,votecount,votepct,winner
floridaofficial-120001-12081,120001,Republican Primary,Republican Primary,997375,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,70,1,70,12081,Manatee,,,,Florida,FL,,,4709,0.11258,
floridaofficial-120001-12081,120001,Republican Primary,Republican Primary,997376,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,70,1,70,12081,Manatee,,,,Florida,FL,,,37120,0.88742,
floridaofficial-120001-12083,120001,Republican Primary,Republican Primary,997377,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,125,1,125,12083,Marion,,,,Florida,FL,,,4723,0.10721,
floridaofficial-120001-12083,120001,Republican Primary,Republican Primary,997378,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,125,1,125,12083,Marion,,,,Florida,FL,,,39332,0.89279,
floridaofficial-120001-12085,120001,Republican Primary,Republican Primary,997379,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,30,1,30,12085,Martin,,,,Florida,FL,,,4906,0.20096,
floridaofficial-120001-12085,120001,Republican Primary,Republican Primary,997380,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,30,1,30,12085,Martin,,,,Florida,FL,,,19507,0.79904,
floridaofficial-120001-12086,120001,Republican Primary,Republican Primary,997381,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,762,1,762,12086,Miami-Dade,,,,Florida,FL,,,12384,0.12215,
floridaofficial-120001-12086,120001,Republican Primary,Republican Primary,997382,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,762,1,762,12086,Miami-Dade,,,,Florida,FL,,,89003,0.87785,
floridaofficial-120001-12087,120001,Republican Primary,Republican Primary,997383,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,33,1,33,12087,Monroe,,,,Florida,FL,,,1196,0.15412,
floridaofficial-120001-12087,120001,Republican Primary,Republican Primary,997384,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,33,1,33,12087,Monroe,,,,Florida,FL,,,6564,0.84588,
floridaofficial-120001-12089,120001,Republican Primary,Republican Primary,997385,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,15,1,15,12089,Nassau,,,,Florida,FL,,,1526,0.10601,
floridaofficial-120001-12089,120001,Republican Primary,Republican Primary,997386,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,15,1,15,12089,Nassau,,,,Florida,FL,,,12869,0.89399,
floridaofficial-120001-12091,120001,Republican Primary,Republican Primary,997387,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,52,1,52,12091,Okaloosa,,,,Florida,FL,,,3145,0.12136,
floridaofficial-120001-12091,120001,Republican Primary,Republican Primary,997388,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,52,1,52,12091,Okaloosa,,,,Florida,FL,,,22769,0.87864,
floridaofficial-120001-12093,120001,Republican Primary,Republican Primary,997389,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,11,1,11,12093,Okeechobee,,,,Florida,FL,,,438,0.12461,
floridaofficial-120001-12093,120001,Republican Primary,Republican Primary,997390,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,11,1,11,12093,Okeechobee,,,,Florida,FL,,,3077,0.87539,
floridaofficial-120001-12095,120001,Republican Primary,Republican Primary,997391,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,247,1,247,12095,Orange,,,,Florida,FL,,,7996,0.11661,
floridaofficial-120001-12095,120001,Republican Primary,Republican Primary,997392,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,247,1,247,12095,Orange,,,,Florida,FL,,,60576,0.88339,
floridaofficial-120001-12097,120001,Republican Primary,Republican Primary,997393,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,87,1,87,12097,Osceola,,,,Florida,FL,,,1398,0.089817,
floridaofficial-120001-12097,120001,Republican Primary,Republican Primary,997394,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,87,1,87,12097,Osceola,,,,Florida,FL,,,14167,0.91018,
floridaofficial-120001-12099,120001,Republican Primary,Republican Primary,997395,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,871,1,871,12099,Palm Beach,,,,Florida,FL,,,8579,0.11217,
floridaofficial-120001-12099,120001,Republican Primary,Republican Primary,997396,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,871,1,871,12099,Palm Beach,,,,Florida,FL,,,67902,0.88783,
floridaofficial-120001-12101,120001,Republican Primary,Republican Primary,997397,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,110,1,110,12101,Pasco,,,,Florida,FL,,,5354,0.11690,
floridaofficial-120001-12101,120001,Republican Primary,Republican Primary,997398,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,110,1,110,12101,Pasco,,,,Florida,FL,,,40445,0.88310,
floridaofficial-120001-12103,120001,Republican Primary,Republican Primary,997399,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,299,1,299,12103,Pinellas,,,,Florida,FL,,,12521,0.13857,
floridaofficial-120001-12103,120001,Republican Primary,Republican Primary,997400,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,299,1,299,12103,Pinellas,,,,Florida,FL,,,77840,0.86143,
floridaofficial-120001-12105,120001,Republican Primary,Republican Primary,997401,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,167,1,167,12105,Polk,,,,Florida,FL,,,5507,0.092587,
