ElectionDate	PartyCode	PartyName	RaceCode	RaceName	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
HEY	Republican Primary	Republican Primary	120001	United States Senator	12091	Okaloosa	HEY	HEY	52	51	De La Fuente	Roque	HEY	3145
HEY	Republican Primary	Republican Primary	120001	United States Senator	12091	Okaloosa	HEY	HEY	52	51	Scott	Rick	HEY	22765
HEY	Republican Primary	Republican Primary	120001	United States Senator	12093	Okeechobee	HEY	HEY	11	11	De La Fuente	Roque	HEY	438
HEY	Republican Primary	Republican Primary	120001	United States Senator	12093	Okeechobee	HEY	HEY	11	11	Scott	Rick	HEY	3077
HEY	Republican Primary	Republican Primary	120001	United States Senator	12095	Orange	HEY	HEY	247	247	De La Fuente	Roque	HEY	7905
HEY	Republican Primary	Republican Primary	120001	United States Senator	12095	Orange	HEY	HEY	247	247	Scott	Rick	HEY	60014
HEY	Republican Primary	Republican Primary	120001	United States Senator	12097	Osceola	HEY	HEY	87	87	De La Fuente	Roque	HEY	1398
HEY	Republican Primary	Republican Primary	120001	United States Senator	12097	Osceola	HEY	HEY	87	87	Scott	Rick	HEY	14167
HEY	Republican Primary	Republican Primary	120001	United States Senator	12099	Palm Beach	HEY	HEY	871	853	De La Fuente	Roque	HEY	8100
HEY	Republican Primary	Republican Primary	120001	United States Senator	12099	Palm Beach	HEY	HEY	871	853	Scott	Rick	HEY	63983
HEY	Republican Primary	Republican Primary	120001	United States Senator	12101	Pasco	HEY	HEY	110	110	De La Fuente	Roque	HEY	5354
HEY	Republican Primary	Republican Primary	120001	United States Senator	12101	Pasco	HEY	HEY	110	110	Scott	Rick	HEY	40445
HEY	Republican Primary	Republican Primary	120001	United States Senator	12103	Pinellas	HEY	HEY	299	299	De La Fuente	Roque	HEY	12306
HEY	Republican Primary	Republican Primary	120001	United States Senator	12103	Pinellas	HEY	HEY	299	299	Scott	Rick	HEY	76534
HEY	Republican Primary	Republican Primary	120001	United States Senator	12105	Polk	HEY	HEY	167	167	De La Fuente	Roque	HEY	5507
HEY	Republican Primary	Republican Primary	120001	United States Senator	12105	Polk	HEY	HEY	167	167	Scott	Rick	HEY	53972
HEY	Republican Primary	Republican Primary	120001	United States Senator	12107	Putnam	HEY	HEY	35	35	De La Fuente	Roque	HEY	707
HEY	Republican Primary	Republican Primary	120001	United States Senator	12107	Putnam	HEY	HEY	35	35	Scott	Rick	HEY	6776
HEY	Republican Primary	Republican Primary	120001	United States Senator	12109	St. Johns	HEY	HEY	46	46	De La Fuente	Roque	HEY	2729
HEY	Republican Primary	Republican Primary	120001	United States Senator	12109	St. Johns	HEY	HEY	46	46	Scott	Rick	HEY	31371
HEY	Republican Primary	Republican Primary	120001	United States Senator	12111	St. Lucie	HEY	HEY	64	64	De La Fuente	Roque	HEY	2916
HEY	Republican Primary	Republican Primary	120001	United States Senator	12111	St. Lucie	HEY	HEY	64	64	Scott	Rick	HEY	20207
HEY	Republican Primary	Republican Primary	120001	United States Senator	12113	Santa Rosa	HEY	HEY	41	41	De La Fuente	Roque	HEY	3709
HEY	Republican Primary	Republican Primary	120001	United States Senator	12113	Santa Rosa	HEY	HEY	41	41	Scott	Rick	HEY	21460
HEY	Republican Primary	Republican Primary	120001	United States Senator	12115	Sarasota	HEY	HEY	99	99	De La Fuente	Roque	HEY	6675
HEY	Republican Primary	Republican Primary	120001	United States Senator	12115	Sarasota	HEY	HEY	99	99	Scott	Rick	HEY	42968
HEY	Republican Primary	Republican Primary	120001	United States Senator	12117	Seminole	HEY	HEY	81	81	De La Fuente	Roque	HEY	4306
HEY	Republican Primary	Republican Primary	120001	United States Senator	12117	Seminole	HEY	HEY	81	81	Scott	Rick	HEY	35989
HEY	Republican Primary	Republican Primary	120001	United States Senator	12119	Sumter	HEY	HEY	26	26	De La Fuente	Roque	HEY	1032
HEY	Republican Primary	Republican Primary	120001	United States Senator	12119	Sumter	HEY	HEY	26	26	Scott	Rick	HEY	23817
HEY	Republican Primary	Republican Primary	120001	United States Senator	12121	Suwannee	HEY	HEY	16	16	De La Fuente	Roque	HEY	528
HEY	Republican Primary	Republican Primary	120001	United States Senator	12121	Suwannee	HEY	HEY	16	16	Scott	Rick	HEY	4117
HEY	Republican Primary	Republican Primary	120001	United States Senator	12123	Taylor	HEY	HEY	14	14	De La Fuente	Roque	HEY	223
HEY	Republican Primary	Republican Primary	120001	United States Senator	12123	Taylor	HEY	HEY	14	14	Scott	Rick	HEY	1702
HEY	Republican Primary	Republican Primary	120001	United States Senator	12125	Union	HEY	HEY	13	13	De La Fuente	Roque	HEY	178
HEY	Republican Primary	Republican Primary	120001	United States Senator	12125	Union	HEY	HEY	13	13	Scott	Rick	HEY	1210
HEY	Republican Primary	Republican Primary	120001	United States Senator	12127	Volusia	HEY	HEY	125	125	De La Fuente	Roque	HEY	4813
HEY	Republican Primary	Republican Primary	120001	United States Senator	12127	Volusia	HEY	HEY	125	125	Scott	Rick	HEY	47829
HEY	Republican Primary	Republican Primary	120001	United States Senator	12129	Wakulla	HEY	HEY	12	12	De La Fuente	Roque	HEY	465
HEY	Republican Primary	Republican Primary	120001	United States Senator	12129	Wakulla	HEY	HEY	12	12	Scott	Rick	HEY	2950
HEY	Republican Primary	Republican Primary	120001	United States Senator	12131	Walton	HEY	HEY	21	21	De La Fuente	Roque	HEY	2230
HEY	Republican Primary	Republican Primary	120001	United States Senator	12131	Walton	HEY	HEY	21	21	Scott	Rick	HEY	8659
HEY	Republican Primary	Republican Primary	120001	United States Senator	12133	Washington	HEY	HEY	12	12	De La Fuente	Roque	HEY	323
HEY	Republican Primary	Republican Primary	120001	United States Senator	12133	Washington	HEY	HEY	12	12	Scott	Rick	HEY	2745
HEY	Republican Primary	Republican Primary	140011	Representative in Congress, District 1	12033	Escambia	HEY	HEY	79	79	Dosev	Cris	HEY	13565
HEY	Republican Primary	Republican Primary	140011	Representative in Congress, District 1	12033	Escambia	HEY	HEY	79	79	Gaetz	Matt	HEY	21313
HEY	Republican Primary	Republican Primary	140011	Representative in Congress, District 1	12033	Escambia	HEY	HEY	79	79	Mills	John	HEY	1737
HEY	Republican Primary	Republican Primary	140011	Representative in Congress, District 1	12059	Holmes	HEY	HEY	6	6	Dosev	Cris	HEY	217
HEY	Republican Primary	Republican Primary	140011	Representative in Congress, District 1	12059	Holmes	HEY	HEY	6	6	Gaetz	Matt	HEY	1517
HEY	Republican Primary	Republican Primary	140011	Representative in Congress, District 1	12059	Holmes	HEY	HEY	6	6	Mills	John	HEY	165
HEY	Republican Primary	Republican Primary	140011	Representative in Congress, District 1	12091	Okaloosa	HEY	HEY	52	51	Dosev	Cris	HEY	5514
